=== Device Logcat for TC_AUTHZ_001 ===
Captured at: Thu Jul 30 09:08:02 UTC 2026
Entry count: 1893
===========================================
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.028   917  1052 D EGL_emulation: app_time_stats: avg=35573.17ms min=35573.17ms max=35573.17ms count=1
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.029  1433  1728 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.029  1433  1728 I AiAiEcho: EchoTargets: 
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.029  1433  1728 I AiAiEcho: Filtered by AiAi flag check: 
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.029  1433  1728 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.029  1433  1728 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata:  [CONTEXT ratelimit_period="10 SECONDS" ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: EchoTargets: 
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: Filtered by AiAi flag check: 
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata:  [CONTEXT ratelimit_period="10 SECONDS" ]
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.030  1433  1728 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.031  1433  1728 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0 (types=[])
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.031  1433  1728 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0 (types=[])
Thu Jul 30 09:07:01 UTC 2026 | ALL | 07-30 09:07:00.036   917   917 W PageIndicator: Total number of pages invalid: 0. Assuming 1 page.
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.157  4162  4220 I appium  : channel read: POST /session/0ec58237-84ed-40bd-bf67-28bb2b70cae2/element
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.158  4162  4220 I appium  : FindElement command
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.158  4162  4220 I appium  : method: 'xpath', selector: '//*[contains(@text, 'Welcome Back!') or contains(@content-desc, 'Welcome Back!')]'
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.158  4162  4220 I appium  : Waiting up to 10000ms for the device to idle
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.159  4162  4220 I appium  : The following attributes will be included to the page source: [text, content-desc]
Thu Jul 30 09:07:02 UTC 2026 | ALL | 07-30 09:07:01.169  4162  4220 I appium  : Took 0ms to retrieve 0 matches for '//*[contains(@text, 'Welcome Back!') or contains(@content-desc, 'Welcome Back!')]' XPath2 query
